baseline,model,binary_accuracy,binary_macro_f1,binary_precision,binary_recall,mcq_exact_match
Baseline 1,logistic_regression_unweighted,0.7498576958105647,0.42852495811850433,0.0,0.0,0.361908014571949
Baseline 1,logistic_regression_balanced,0.5649476320582878,0.5204037722592079,0.29218869854257223,0.5203779599271403,0.3723816029143898
Baseline 1,linear_svm_unweighted,0.7499146174863388,0.4285435472066358,0.0,0.0,0.3573542805100182
Baseline 1,linear_svm_balanced,0.5465619307832422,0.5068209371043318,0.28178043717181583,0.5253870673952641,0.3748861566484517
